path,index0,index1,index2,index3,index4,index5,index6,index7,index8,index9
test01Infarct (1).jpg.Extracted.png,[ 0.05871532 -0.10544894],[ 0.89037486 -0.20955553],[-0.94909019  0.31500447],[1.35393258 1.53370787],[-0.55801929  1.79725564],[1.14005171 1.52281993],[0.2235259  1.38306652],[0.86830069 2.2788605 ],[-0.18678532  2.31301581],[0. 0.]
test01Infarct (100).jpg.Extracted.png,[ 0.20100131 -0.3257283 ],[ 0.71832264 -0.06777326],[-0.91932395  0.39350156],[1.71803703 0.70634387],[-0.78107254  1.55762575],[1.17506132 0.62938073],[0.11869561 1.10955613],[0.85249152 1.7499076 ],[-0.07010853  1.96416451],[0. 0.]
test01Infarct (101).jpg.Extracted.png,[-0.11468426 -0.41572001],[0.87938523 0.47611093],[-0.76470097 -0.06039091],[0.70648179 1.63230872],[-1.10699967  1.13289342],[0.34087872 1.25968927],[-0.11017374  1.14542265],[0.10783495 2.10065152],[-0.87871701  1.81072503],[0. 0.]
test01Infarct (103).jpg.Extracted.png,[-0.60073409 -0.22430669],[0.99836868 0.05709625],[-0.39763458  0.16721044],[2.64396411 0.96125612],[-0.38723491  1.30322186],[1.26141925 1.35032626],[0.06729201 1.14477977],[2.08482871 1.03099511],[1.22349103 1.17781403],[0. 0.]
test01Infarct (105).jpg.Extracted.png,[-0.17506631 -0.00464191],[ 0.35809019 -0.933687  ],[-0.18302387  0.93832891],[ 1.74071618 -0.89986737],[0.6903183  2.07228117],[ 1.10809019 -0.183687  ],[1.29708223 3.29575597],[1.83023873 0.11671088],[1.53381963 1.11737401],[0. 0.]
test01Infarct (106).jpg.Extracted.png,[ 0.19459981 -0.51118611],[0.80501446 0.53895853],[-0.99961427 -0.02777242],[0.53336548 2.09768563],[-1.43413693  1.25785921],[0.14715526 1.4048216 ],[-0.37126326  1.23095468],[0.1951784  2.44715526],[-0.69874638  2.30973963],[0. 0.]
test01Infarct (107).jpg.Extracted.png,[ 0.03757717 -0.41621186],[0.93540306 0.35358325],[-0.97298023  0.06262861],[1.42417464 1.62557037],[-1.46899884  1.35662521],[1.29158093 2.35134652],[-0.1897647   1.30186991],[0.22090006 1.89612597],[-0.78402076  1.71253467],[0. 0.]
test01Infarct (109).jpg.Extracted.png,[-0.47304802 -0.00294022],[ 0.97647828 -0.21561581],[-0.50343025  0.21855603],[1.82130023 1.02858543],[-0.43139497  1.62887945],[2.07660895 2.11891539],[0.55161712 1.13982359],[1.37193728 1.15942502],[0.62610258 1.32260699],[0. 0.]
test01Infarct (110).jpg.Extracted.png,[-0.0489256  -0.22786794],[0.9787511  0.20505193],[-0.92982549  0.02281601],[1.25007304 1.33679513],[-1.59605833  0.90196287],[0.36869505 1.29209275],[-0.56304284  1.13336344],[0.43594783 1.8431034 ],[-0.7052777   1.75592977],[0. 0.]
test01Infarct (111).jpg.Extracted.png,[0.54064661 0.0137687 ],[0.38497668 0.3646775 ],[-0.92562329 -0.3784462 ],[0.09506193 1.48689078],[-1.16158919  0.91043912],[0.66514396 1.32147338],[-0.15953032  1.19408075],[-1.06179829  1.81444427],[-1.75049059  1.43631977],[0. 0.]
