path,index0,index1,index2,index3,index4,index5,index6,index7,index8
test01Infarct (1).jpg.Extracted.png,[ 0.00678085  0.00270444 -0.25011441],[0.06434401 0.05719569 0.15462195],[-0.08218522 -0.06989051  0.10729296],[-0.03288093  0.18275547  0.42172954],[-0.19328239  0.01554516  0.24869639],[-0.10483576  0.19072764  0.57801755],[-0.12112226  0.06023038  0.40312383],[-0.14572308  0.17471487  0.96315585],[-0.21494069  0.07538777  0.95571357]
test01Infarct (100).jpg.Extracted.png,[ 0.06147743  0.01797578 -0.37298008],[0.0339627  0.09456668 0.2808901 ],[-0.12588658 -0.14932949  0.11229632],[-0.01294958  0.40753567  0.17913936],[-0.36334002 -0.06265924 -0.18181308],[-0.02202263  0.25474739 -0.50533342],[-0.18047531  0.09042981 -0.73527349],[-0.30794926  0.27996147  0.95451868],[-0.41025926  0.09509166  0.85291725]
test01Infarct (101).jpg.Extracted.png,[ 0.00992543 -0.05809062 -0.36279549],[0.09566502 0.09463646 0.15322425],[-0.10559045 -0.03856789  0.22472393],[ 0.03556871  0.32373025 -0.08137987],[-0.28655192  0.11938682  0.00254312],[-0.00668974  0.23367781 -0.68409952],[-0.15077836  0.13323741 -0.68409952],[-0.09251399  0.36896847  0.66248299],[-0.24948743  0.26035434  0.70444449]
test01Infarct (103).jpg.Extracted.png,[-0.05439797 -0.07010982 -0.16321144],[ 0.09247145  0.07751    -0.21441503],[-0.03807349 -0.00750979  0.38435058],[ 0.08500432  0.4297461  -0.36376372],[-0.24229434  0.17351617  0.21181179],[-0.01287417  0.35253765 -0.15195194],[-0.19421062  0.1551245  -0.51571566],[0.18853757 0.48715375 0.37757754],[0.08415336 0.41022896 0.92552542]
test01Infarct (105).jpg.Extracted.png,[-0.00384982 -0.01507933 -0.26009413],[0.0981756  0.00705974 0.10709758],[-0.09432578  0.00828502  0.15756643],[ 0.15448988  0.16680474 -0.01364442],[-0.20903834  0.13617473  0.1500886 ],[ 0.04751435  0.11682163 -0.28653278],[-0.32509494  0.22233326 -0.08641465],[0.0444253  0.2041339  0.84140577],[-0.07150724  0.20642898  0.81411694]
test01Infarct (106).jpg.Extracted.png,[ 0.07224715 -0.04372314 -0.31630255],[0.06977049 0.13880021 0.19641368],[-0.14201764 -0.10271717  0.13654373],[-0.1037024   0.43483219 -0.04655828],[-0.43694426  0.06683374 -0.0802729 ],[-0.16082115  0.26907912 -0.59562492],[-0.24751459  0.199448   -0.42223546],[-0.27213489  0.49595321  0.67589782],[-0.41886242  0.38613085  0.64699958]
test01Infarct (107).jpg.Extracted.png,[ 0.02908962 -0.03383159 -0.25785587],[0.06717548 0.07260399 0.15598689],[-0.09626509 -0.04044394  0.10817615],[ 0.06901407  0.24612651 -0.01848671],[-0.24330739  0.06339761 -0.05915748],[ 0.06609909  0.24385204 -0.38822099],[-0.09102241  0.14470341 -0.39191833],[-0.10316599  0.23840116  0.77644197],[-0.20099439  0.17144805  0.76904729]
test01Infarct (109).jpg.Extracted.png,[-0.04117787 -0.04889987 -0.11365593],[ 0.08019431  0.05950377 -0.10590666],[-0.03901645 -0.01079647  0.22464577],[ 0.00902034  0.27843934 -0.07247132],[-0.19707602  0.12604972  0.22056488],[-0.08389686  0.23347286  0.08822595],[-0.09245363  0.20048199 -0.05829215],[0.01405202 0.30828178 0.53250663],[-0.06312305  0.24568991  0.77827892]
test01Infarct (110).jpg.Extracted.png,[ 0.0092818  -0.02333686 -0.30970958],[0.10472052 0.07511564 0.12358603],[-0.11400232 -0.05385631  0.1970561 ],[ 0.07081042  0.29488087 -0.04486171],[-0.34228692  0.0266206   0.05249775],[-0.07299064  0.17501924 -0.49729682],[-0.16435084  0.11072873 -0.48011574],[-0.10150985  0.34181264  0.84282744],[-0.25563101  0.23227999  0.88005311]
test01Infarct (111).jpg.Extracted.png,[ 0.0888076   0.07422205 -0.19146428],[0.00678253 0.08800641 0.31890775],[-0.12372044 -0.21024904 -0.17854524],[-0.19342493  0.27562871  0.04771468],[-0.39241494  0.093491   -0.17854524],[-0.12073655  0.3531976  -0.61721242],[-0.18341019  0.27311596  0.1908587 ],[-0.31923126  0.1645485   0.84193315],[-0.48764553  0.01093285  0.58335039]
test01Infarct (112).jpg.Extracted.png,[ 0.00150949 -0.04603519 -0.23276758],[0.06950494 0.07932452 0.07253687],[-0.07101443 -0.03461133  0.168881  ],[ 0.00886246  0.29190056 -0.02209807],[-0.24243247  0.03760037  0.00909921],[-0.11034607  0.23269006 -0.24047901],[-0.12525895  0.10013743 -0.2989739 ],[-0.10001353  0.2755827   0.64474371],[-0.20572045  0.20177435  0.71493759]
