path,index0,index1,index2,index3,index4,index5,index6,index7,index8,index9
test00None (1).jpg.Extracted.png,[ 0.12543635 -0.63951594],[ 0.60646963 -0.04188969],[-0.73190598  0.68140563],[1.61112404 1.13660694],[0.04026065 2.39399581],[2.68699092 1.74610193],[2.03909704 2.09937165],[1.84291366 2.22573889],[1.17686758 2.78287177],[0. 0.]
test00None (10).jpg.Extracted.png,[-0.97108604 -0.72425952],[0.93088858 0.36530324],[0.04019746 0.35895628],[1.40056417 3.45416079],[0.44217207 2.94851904],[1.53808181 6.15585331],[0.19887165 5.09167842],[0.17348378 5.65444288],[-0.5796897   5.34978843],[0. 0.]
test00None (100).jpg.Extracted.png,[-0.38093306 -0.64178499],[ 0.95172414 -0.17931034],[-0.57079108  0.82109533],[2.05192698 0.88194726],[-0.29939148  2.38377282],[3.00973631 1.54036511],[-0.21906694  3.84178499],[2.21622718 2.50060852],[1.03813387 3.11643002],[0. 0.]
test00None (101).jpg.Extracted.png,[ 0.29693941 -0.67757651],[0.55927545 0.82898189],[-0.85621487 -0.15140537],[-0.02835728  0.93429107],[-2.07570269 -0.57189257],[-0.73404122 -0.23835103],[-2.95078076 -1.56876952],[-1.52816989  3.32679575],[-2.24322299  2.52891943],[0. 0.]
test00None (102).jpg.Extracted.png,[-0.17193541 -0.82738231],[0.69251763 0.72140096],[-0.52058222  0.10598135],[0.4639527  2.29611098],[-0.62565385  1.04480327],[-0.39231294  1.88196498],[-0.73277234  0.94996589],[-0.0286559   2.52876962],[-0.47486923  2.19103935],[0. 0.]
test00None (103).jpg.Extracted.png,[-0.0749818  -0.77869449],[0.88085416 0.18660519],[-0.80587236  0.5920893 ],[1.43775783 1.13516137],[-0.78330502  2.01091968],[0.93254065 1.69424897],[-0.5146809   1.48022325],[0.84299927 1.87114778],[0.04367872 2.13322009],[0. 0.]
test00None (104).jpg.Extracted.png,[-0.06851735 -0.30902208],[0.86649842 0.49917981],[-0.79798107 -0.19015773],[0.74611987 1.86233438],[-1.55621451  0.68845426],[-0.18094637  2.06788644],[-1.60656151  1.26801262],[-0.12227129  1.97892744],[-1.07280757  1.62006309],[0. 0.]
test00None (105).jpg.Extracted.png,[-0.32420896 -0.55228728],[0.89310569 0.4498469 ],[-0.56889672  0.10244038],[0.73443444 1.86758838],[-1.01401132  1.60063097],[-0.38628561  1.33395193],[-1.01679503  1.36234574],[0.13899972 2.49837617],[-0.79688225  2.18687947],[0. 0.]
test00None (106).jpg.Extracted.png,[-0.15608789 -0.52075069],[ 0.96536466 -0.06667684],[-0.80927678  0.58742753],[1.58880073 1.13350626],[-0.77540433  2.25175465],[1.39929814 1.38983827],[0.3753433  1.95605737],[0.86695148 2.03021056],[-0.01327434  2.19911504],[0. 0.]
test00None (107).jpg.Extracted.png,[-0.47692308 -0.71538462],[ 0.86153846 -0.20769231],[-0.38461538  0.92307692],[1.80769231 0.76153846],[0.26153846 2.19230769],[1.87692308 1.61538462],[0.49230769 2.23846154],[2.38461538 2.67692308],[1.41538462 3.32307692],[0. 0.]
test00None (108).jpg.Extracted.png,[-0.38124614 -0.71314004],[ 0.8624306  -0.16347933],[-0.48118445  0.87661937],[1.94972239 0.84608267],[0.27853177 2.2637261 ],[2.91486737 1.13201727],[1.67674275 2.66070327],[1.98951265 1.74090068],[1.23534855 2.43214065],[0. 0.]
test00None (109).jpg.Extracted.png,[-0.18931922 -0.39114746],[0.73803223 0.67476546],[-0.54871301 -0.28361799],[0.15455858 2.17765215],[-1.23322107  0.29769064],[-1.10440221  2.14770267],[-1.68787587  0.65058937],[-0.34303584  1.9138802 ],[-0.94130382  1.3639644 ],[0. 0.]
test00None (11).jpg.Extracted.png,[-0.32604123 -0.73075305],[ 0.95498528 -0.04669752],[-0.62894405  0.77745057],[1.61758519 1.34160707],[-0.32351704  2.13167859],[0.86790072 0.19941102],[0.26209508 3.21581826],[1.97602019 2.80689945],[0.94741271 3.36600757],[0. 0.]
test00None (110).jpg.Extracted.png,[ 0.55 -0.4 ],[0. 1.],[-0.55 -0.6 ],[1.275 1.275],[-0.175 -1.625],[1.   0.35],[ 0.675 -0.725],[-2.85  1.05],[-3.  -0.2],[0. 0.]
test00None (111).jpg.Extracted.png,[ 0.26432124 -0.58684841],[0.59311107 0.80512065],[-0.85743231 -0.21827224],[0.29084546 2.23300792],[-1.71173328  0.83385522],[-0.52366918  3.01491987],[-2.21818014  1.83597348],[-1.0505618   2.78089888],[-1.87226008  2.23659974],[0. 0.]
test00None (112).jpg.Extracted.png,[ 0.13694563 -0.49415476],[0.745964   0.66598627],[-0.88290963 -0.17183151],[0.67081091 1.99814437],[-1.56596771  0.40267211],[-0.28753015  2.80784932],[-1.86964186  0.87446651],[-0.15114121  2.61245129],[-1.09361663  2.40758953],[0. 0.]
test00None (113).jpg.Extracted.png,[ 0.30461538 -0.48307692],[0.64328912 0.76562334],[-0.94790451 -0.28254642],[0.45931034 2.11172414],[-1.64212202  0.10992042],[-0.53156499  2.77506631],[-2.05623342  0.63289125],[-0.466313    2.63501326],[-1.47087533  2.30334218],[0. 0.]
test00None (114).jpg.Extracted.png,[-0.0626503 -0.6278952],[0.89153272 0.06847235],[-0.82888242  0.55942286],[1.44323503 1.06442223],[-0.96215669  1.62371852],[1.1744083  1.57018099],[-0.47158588  2.07366156],[0.9279838  2.03379319],[-0.05999241  2.26540944],[0. 0.]
test00None (12).jpg.Extracted.png,[ 0.08032787 -0.68360656],[0.85718033 0.51501639],[-0.9375082   0.16859016],[1.33501639 1.88281967],[-1.52727869  1.56806557],[0.41180328 2.03016393],[-2.02085246  2.89337705],[-0.17560656  2.87567213],[-1.21213115  2.61344262],[0. 0.]
test00None (13).jpg.Extracted.png,[-0.19755827 -0.809101  ],[ 0.69811321 -0.05660377],[-0.50055494  0.86570477],[1.49223085 1.61986681],[0.2136515 2.7036626],[2.35793563 2.62042175],[0.90122087 4.0954495 ],[2.5327414  2.92341842],[1.58046615 3.47280799],[0. 0.]
test00None (14).jpg.Extracted.png,[ 0.42425713 -0.56895088],[0.38859915 0.92140691],[-0.81285628 -0.35245603],[-0.67113402  2.26494845],[-1.99029715  0.49241965],[-2.0827168  2.7021225],[-2.70054579  1.64730139],[-1.81127956  2.37756216],[-2.38308065  1.63365676],[0. 0.]
test00None (15).jpg.Extracted.png,[ 0.15729596 -0.66150041],[0.66232481 0.74921682],[-0.81962077 -0.08771641],[0.90915087 2.17032152],[-2.08639736  0.56669415],[0.10288541 2.271723  ],[-1.82176422  1.57328937],[-0.73009068  2.99488871],[-1.62390767  2.63429514],[0. 0.]
test00None (16).jpg.Extracted.png,[-0.19449541 -0.38165138],[0.9412844  0.33761468],[-0.74678899  0.0440367 ],[1.10825688 1.62752294],[-1.30825688  0.77247706],[0.44587156 1.68623853],[-1.2  1.4],[0.11926606 2.06422018],[-0.67522936  1.88256881],[0. 0.]
test00None (17).jpg.Extracted.png,[ 0.15623529 -0.97694118],[0.66023529 0.75105882],[-0.81647059  0.22588235],[-0.18682353  2.93929412],[-1.79341176  2.06964706],[-2.02635294  4.32141176],[-2.81411765  3.53647059],[-1.67623529  4.33694118],[-2.57129412  3.78917647],[0. 0.]
test00None (18).jpg.Extracted.png,[ 0.47464082 -0.78968323],[0.41803704 0.90842998],[-0.89267786 -0.11874675],[-1.12220876  1.70296001],[-2.18158214  0.64929894],[-1.8492297   0.86221222],[-1.40003462  1.47810282],[-1.5402458   2.79453003],[-2.32854423  2.19577635],[0. 0.]
test00None (19).jpg.Extracted.png,[ 0.58664085 -0.74249758],[0.18586641 0.98257502],[-0.77250726 -0.24007744],[-1.22991288  2.38092933],[-2.48015489 -0.45498548],[-1.00774443  3.25072604],[-2.22168441 -1.69796709],[-2.85914811  3.00242014],[-3.48644724  2.31122943],[0. 0.]
test00None (2).jpg.Extracted.png,[-0.24002693 -0.70139707],[ 0.93704764 -0.01565393],[-0.6970207  0.717051 ],[2.00656455 0.71553611],[-0.897492    1.94260226],[1.7263087  1.55226393],[0.03568423 2.35111934],[1.76721091 2.54906581],[0.79919206 2.95808786],[0. 0.]
test00None (20).jpg.Extracted.png,[ 0.52156863 -0.55294118],[0.15294118 0.98823529],[-0.6745098  -0.43529412],[-0.6  2.2],[-2.03137255 -0.0745098 ],[-1.33333333  3.33333333],[-3.27843137  0.38039216],[-1.44705882  1.85490196],[-2.12156863  1.08627451],[0. 0.]
test00None (21).jpg.Extracted.png,[ 0.21320755 -0.69622642],[0.75826859 0.65194229],[-0.97147614  0.04428413],[0.90377358 1.98679245],[-2.23740289  0.82208657],[1.91165372 1.45038846],[-1.5208657   1.52597114],[-0.39844617  2.95338513],[-1.42463929  2.53917869],[0. 0.]
test00None (22).jpg.Extracted.png,[ 0.29060081 -0.76291928],[0.68802064 0.72569112],[-0.97862145  0.03722816],[0.32134169 1.96992259],[-1.64961297  1.20670844],[-0.15348323  3.13962403],[-2.08374493  2.28175452],[-0.74176189  2.94279396],[-1.66796904  2.48853668],[0. 0.]
test00None (23).jpg.Extracted.png,[-0.25373706 -0.7037179 ],[0.97431966 0.01034879],[-0.7205826   0.69336911],[1.74875431 1.26542737],[-0.44691453  2.15024914],[2.30701418 2.42851667],[-0.065734    3.42947489],[1.69873515 2.8079724 ],[0.69720199 3.21157532],[0. 0.]
test00None (24).jpg.Extracted.png,[ 0.13093923 -0.7878453 ],[0.73259669 0.68066298],[-0.86353591  0.10718232],[0.32486188 2.12762431],[-1.8480663   1.11325967],[-0.09447514  3.19502762],[-1.14861878  0.42375691],[-0.45745856  2.89171271],[-1.48674033  2.6480663 ],[0. 0.]
test00None (25).jpg.Extracted.png,[ 0.23082353 -0.56870588],[0.75105882 0.66023529],[-0.98188235 -0.09152941],[0.26964706 1.80658824],[-1.18870588  1.10917647],[-0.65011765  1.11552941],[0.04376471 1.62305882],[-0.6  3.2],[-1.62282353  2.91270588],[0. 0.]
test00None (26).jpg.Extracted.png,[-0.30967742 -0.7483871 ],[ 0.90967742 -0.0516129 ],[-0.6  0.8],[1.8        0.95483871],[-0.03870968  2.21290323],[2.32258065 1.80645161],[0.8516129  2.92903226],[1.91612903 2.3483871 ],[1.06451613 2.87096774],[0. 0.]
test00None (27).jpg.Extracted.png,[-0.33129176 -0.80345212],[0.95489978 0.02171492],[-0.62360802  0.78173719],[2.04899777 1.71714922],[0.02282851 2.47048998],[1.7967706  0.61636971],[0.18819599 1.8908686 ],[2.17260579 2.43541203],[1.49276169 2.98496659],[0. 0.]
test00None (28).jpg.Extracted.png,[-0.46153846 -0.19230769],[ 0.99053254 -0.13727811],[-0.52899408  0.3295858 ],[1.80710059 1.20295858],[-0.14201183  1.4408284 ],[0.99585799 2.18994083],[0.35680473 1.92366864],[1.14852071 1.4035503 ],[0.42781065 1.45325444],[0. 0.]
test00None (29).jpg.Extracted.png,[ 0.21712569 -0.45578368],[ 0.66750125 -0.01051577],[-0.88462694  0.46629945],[1.00010015 0.95873811],[-0.8879319   1.82794191],[1.08662994 1.30846269],[0.00771157 1.82283425],[0.72849274 1.86099149],[-0.11667501  2.07010516],[0. 0.]
test00None (3).jpg.Extracted.png,[ 0.28750647 -0.82113295],[0.56492499 0.82514227],[-0.85243145 -0.00400931],[-0.187791    2.20098293],[-1.67537506  0.62571133],[-1.15700983  3.10812209],[-2.09480083  1.05910502],[-1.5186239  2.8629074],[-2.249612    2.23202276],[0. 0.]
test00None (30).jpg.Extracted.png,[-0.03079262 -0.53449914],[0.89355636 0.02889185],[-0.86276373  0.5056073 ],[1.42159285 1.34271051],[-0.54172211  2.00418171],[1.28986885 2.27846417],[0.37521384 2.69815624],[0.92035735 1.86447443],[0.00228094 2.1136666 ],[0. 0.]
test00None (31).jpg.Extracted.png,[-0.23312278 -0.5809317 ],[ 0.97729964 -0.08705093],[-0.74417687  0.66798263],[1.87445717 1.00552704],[-0.56652191  2.13185946],[1.46940387 1.44788788],[-0.12060797  1.54619029],[1.40189499 2.27161469],[0.40643506 2.58902487],[0. 0.]
test00None (32).jpg.Extracted.png,[ 0.09154194 -0.76853463],[0.29516185 0.95544727],[-0.38670379 -0.18691263],[-0.17368604  2.72432997],[-1.17351201  0.41298294],[-1.52332057  2.22050122],[-1.96345284  0.61712496],[-1.74312565  2.45179255],[-1.97911591  1.63835712],[0. 0.]
test00None (33).jpg.Extracted.png,[ 0.56289177 -0.43209361],[0.1441705  0.98955286],[-0.70706226 -0.55745926],[-0.59297952  2.21688257],[-0.9364814  -1.32344338],[-1.55954868  2.67822817],[-0.83493523 -1.72210614],[-1.95821145  2.57668199],[-2.65399081  1.97492687],[0. 0.]
test00None (34).jpg.Extracted.png,[-0.1596894  -0.74442944],[0.91593518 0.0901418 ],[-0.75624578  0.65428764],[1.58440243 1.25286968],[-0.43011479  2.0033761 ],[1.52464551 2.03983795],[-0.1353815   2.95239703],[1.33018231 2.4652262 ],[0.32950709 2.77920324],[0. 0.]
test00None (35).jpg.Extracted.png,[-0.0363706  -0.41921899],[ 0.91232772 -0.06316998],[-0.87595712  0.48238897],[1.47281776 0.94984686],[-0.77718224  1.69984686],[1.43950995 1.98698315],[0.20367534 2.34762634],[1.0237366  1.53675345],[0.07963247 1.86523737],[0. 0.]
