path,index0,index1,index2,index3,index4,index5,index6,index7,index8
test00None (1).jpg.Extracted.png,[ 0.08412105 -0.03368535 -0.25190774],[0.04791656 0.06130636 0.4200905 ],[-0.17373298 -0.03838751 -0.24600264],[0.02597925 0.31964716 0.62406985],[-0.29706934  0.24363573 -0.40137272],[0.01051665 0.52430534 0.19680211],[-0.09933549  0.50686436 -0.47905777],[-0.13801802  0.45292748  0.75613442],[-0.29738171  0.41169388  0.21233912]
test00None (10).jpg.Extracted.png,[-0.05219067 -0.07458667 -0.13323688],[ 0.05761697  0.06068915 -0.30533452],[-0.0054263   0.01394781  0.43792819],[ 0.0365146   0.32024911 -0.51197152],[-0.05211942  0.24828779  0.76445062],[-0.02108201  0.54429718 -0.52599813],[-0.09531688  0.41632384  0.56106467],[-0.11819018  0.44381313 -0.02805323],[-0.1893592   0.41322355  0.56106467]
test00None (100).jpg.Extracted.png,[ 0.03763851 -0.05262421 -0.17584865],[0.04739664 0.07061242 0.06801693],[-0.08503515 -0.01918561  0.11639527],[0.00822301 0.21668823 0.10877814],[-0.21093808  0.06673747  0.12537141],[-0.0027708   0.31762865  0.03687395],[-0.31128263  0.13097229  0.01474958],[-0.11461565  0.26483454  0.2028067 ],[-0.21230858  0.20176167  0.18068233]
test00None (101).jpg.Extracted.png,[ 0.01659733 -0.08697681 -0.21879857],[ 0.07961201  0.0879319  -0.19236653],[-0.09620935 -0.00104176  0.44862374],[ 0.00952268  0.13476499 -0.91009018],[-0.30957603 -0.03131058  0.2389426 ],[-0.14187526 -0.00358053 -1.4635234 ],[-0.50739387 -0.1614285  -0.36719855],[-0.15469914  0.55886714 -0.29340745],[-0.25144958  0.45871392  0.21258863]
test00None (102).jpg.Extracted.png,[-0.00549188 -0.06570678 -0.14803642],[ 0.05235112  0.0610884  -0.01358132],[-0.04685923  0.00478353  0.16705808],[ 0.04223162  0.18882558 -0.02894382],[-0.06251079  0.1031185   0.24069074],[-0.02791255  0.2243493  -0.10663514],[-0.07770351  0.15190253  0.15385927],[-0.00554549  0.23088691  0.34580252],[-0.05819434  0.20335936  0.45548437]
test00None (103).jpg.Extracted.png,[ 0.06008983 -0.05405923 -0.18066206],[0.03715088 0.08891055 0.11638806],[-0.09724071 -0.03710968  0.07009031],[-0.06111846  0.19783102  0.03716694],[-0.2516558  0.0414798 -0.1212816],[-0.13742676  0.14280525 -0.15062393],[-0.18558179  0.03496815 -0.36775712],[-0.14580571  0.22702567  0.43622255],[-0.22374192  0.15548141  0.41274869]
test00None (104).jpg.Extracted.png,[-0.00309835 -0.0389162  -0.17468423],[0.07209276 0.07514277 0.05529573],[-0.06899441 -0.03778471  0.12634079],[ 0.03468568  0.24957392 -0.03641163],[-0.20342312  0.0200525   0.06408447],[-0.09050365  0.25093384 -0.23740383],[-0.23587791  0.10687366 -0.18497108],[-0.08003683  0.2317574   0.63210591],[-0.15743021  0.15466962  0.67579987]
test00None (105).jpg.Extracted.png,[-0.01739775 -0.08475872 -0.20188444],[ 0.09245611  0.0908258  -0.09253037],[-0.07505836 -0.0063385   0.3083163 ],[ 0.03777515  0.36359829 -0.42022491],[-0.25197979  0.17906264  0.23222955],[-0.14756421  0.2301567  -0.61374954],[-0.28564445  0.217343   -0.29305158],[-0.12184496  0.45882841  0.38704926],[-0.25170423  0.3621975   0.71880576]
test00None (106).jpg.Extracted.png,[ 0.04782967 -0.04399748 -0.2214932 ],[0.04828556 0.09699399 0.11960633],[-0.09611523 -0.05515618  0.10943427],[-0.08162594  0.26015718 -0.08777763],[-0.29979571  0.01865252  0.01032678],[-0.08148732  0.25285636 -0.45437832],[-0.22570162  0.15517324 -0.23751594],[-0.17900872  0.1962288   0.69189426],[-0.26467784  0.09235384  0.69189426]
test00None (107).jpg.Extracted.png,[ 0.02826746 -0.050003   -0.17046698],[0.03078505 0.04720205 0.06299867],[-0.05905251  0.00294305  0.11274895],[0.00458782 0.13756445 0.06173503],[-0.11277068  0.07808282  0.1513504 ],[-0.0494587   0.14818868 -0.10554699],[-0.15619297  0.14275358  0.0378376 ],[-0.08835955  0.22914133  0.14537605],[-0.15597041  0.19091988  0.16927348]
test00None (108).jpg.Extracted.png,[ 0.04330115 -0.06112507 -0.17834453],[0.05106595 0.06303079 0.15286674],[-0.0943671  -0.00204364  0.02735108],[0.03167115 0.2033341  0.17734476],[-0.19218047  0.14454879  0.        ],[0.04116368 0.32602032 0.        ],[-0.15719814  0.28929604 -0.12746655],[-0.06657263  0.24723566  0.50432416],[-0.15669099  0.22466748  0.42673583]
test00None (109).jpg.Extracted.png,[-0.01616502 -0.04434366 -0.15038968],[0.06755757 0.07872397 0.01602513],[-0.05139255 -0.0354692   0.14048855],[-0.00579002  0.24989173  0.00570181],[-0.16012195  0.02643227  0.24945429],[-0.16652918  0.24821645 -0.09265445],[-0.24247541  0.06857891  0.15965075],[-0.04893595  0.23067005  0.60011576],[-0.11644698  0.1586328   0.68564295]
test00None (11).jpg.Extracted.png,[ 0.04477602 -0.07163498 -0.24701974],[0.05424978 0.08642735 0.04433688],[-0.0990258  -0.01600778  0.22150741],[-0.03906758  0.23548755 -0.2986127 ],[-0.22892032  0.1101131   0.34127165],[ 0.03526157  0.09712789 -0.88161844],[-0.3014584   0.20705442  0.17774565],[-0.16074796  0.3681382  -0.03554913],[-0.27739098  0.29963002  0.04976878]
test00None (110).jpg.Extracted.png,[ 0.05394858 -0.05466234 -0.16687674],[0.02756069 0.12153555 0.00623838],[-0.08150927 -0.0711343   0.17771571],[0.19144106 0.14073319 0.0349692 ],[-0.07874038 -0.21122554  0.26862702],[0.13323965 0.02628556 0.67872034],[ 0.05475617 -0.1006964   0.6358036 ],[-0.34291834  0.22531752 -0.64693016],[-0.39514871  0.09213736 -0.44665203]
test00None (111).jpg.Extracted.png,[ 0.03291803 -0.06360015 -0.21192305],[0.0757692  0.10194066 0.08450919],[-0.10868723 -0.04081044  0.13800046],[0.02297333 0.34856466 0.1997613 ],[-0.26891486  0.10608718  0.25126226],[-0.1164211   0.4838197   0.06398604],[-0.37033867  0.26913027  0.1108051 ],[-0.18666848  0.43702886  0.66326994],[-0.31909406  0.34819788  0.68199756]
test00None (112).jpg.Extracted.png,[ 0.02512362 -0.0816998  -0.30308825],[0.09693936 0.1219295  0.13925676],[-0.12206298 -0.04386735  0.18257785],[0.06528114 0.43112913 0.14693573],[-0.32257788 -0.00079197 -0.05837173],[-0.15224534  0.57226695 -0.24556383],[-0.41976163  0.11087515 -0.77090939],[-0.13980188  0.53770846  0.43678156],[-0.31132237  0.44851637  0.43678156]
test00None (113).jpg.Extracted.png,[ 0.04676841 -0.06436101 -0.29342926],[0.07176238 0.12311582 0.12109779],[-0.1185308  -0.06371326  0.19298609],[0.02112962 0.39622995 0.27296484],[-0.3067685  -0.03187057  0.29619589],[-0.17397994  0.5106888   0.01742329],[-0.41411564  0.09368518  0.00580776],[-0.16429217  0.48270434  0.44138995],[-0.32251113  0.39659324  0.464621  ]
test00None (114).jpg.Extracted.png,[ 0.03882144 -0.05343745 -0.17879563],[0.06283238 0.06764953 0.10409335],[-0.10165382 -0.01530165  0.08093643],[ 0.04490906  0.23073733 -0.01114012],[-0.22383086  0.07590312  0.00139252],[-0.03735618  0.22879807 -0.278503  ],[-0.20530587  0.15398365 -0.17824192],[-0.06715946  0.23318691  0.56953864],[-0.16356085  0.18297041  0.54447337]
test00None (12).jpg.Extracted.png,[ 0.00623304 -0.10280522 -0.32095891],[0.12800932 0.07876348 0.12344573],[-0.13424236  0.02579935  0.21067135],[ 0.23652823  0.36887353 -0.06523365],[-0.29653649  0.28244843  0.38821979],[ 0.05572     0.38742853 -0.6762025 ],[-0.4183398   0.54444512  0.04932301],[-0.05727999  0.55716561  0.7843949 ],[-0.23355255  0.49712985  0.7796217 ]
test00None (13).jpg.Extracted.png,[ 0.05566813 -0.0855707  -0.31567554],[0.05091141 0.0636317  0.39450425],[-0.11949035  0.02178242 -0.11325305],[-0.04471656  0.28628862  0.77861473],[-0.22798935  0.23164479  0.        ],[-0.08152134  0.48308154  0.47424716],[-0.32080875  0.43934769 -0.134488  ],[-0.05936336  0.52796084  0.36807242],[-0.20900484  0.46229435  0.02831326]
test00None (14).jpg.Extracted.png,[ 0.05268872 -0.07644684 -0.28279582],[0.06805423 0.10884465 0.05049925],[-0.12074295 -0.03450798  0.25041367],[-0.05352726  0.409403    0.07185935],[-0.35508413  0.14031587  0.4446297 ],[-0.28541116  0.54850578 -0.1482099 ],[-0.47314561  0.38259074  0.20210441],[-0.25692921  0.49244968  0.66469894],[-0.38479807  0.38717832  0.74554071]
test00None (15).jpg.Extracted.png,[ 0.01444645 -0.10110765 -0.36074781],[0.10971945 0.08836078 0.12357107],[-0.12416591  0.01428583  0.26475815],[0.23209707 0.34912206 0.16509117],[-0.3535828   0.16852623  0.28890954],[ 0.08934281  0.41171112 -0.24278113],[-0.28910487  0.33423515 -0.22821426],[-0.05638884  0.57854056  0.128674  ],[-0.22446687  0.52997402  0.24520894]
test00None (16).jpg.Extracted.png,[ 4.57580129e-05 -3.74258947e-02 -1.57597646e-01],[0.06276127 0.05543999 0.04849158],[-0.06280703 -0.01888624  0.11545335],[ 0.06133719  0.19235361 -0.05852669],[-0.15202447  0.0310324   0.04051847],[-0.01675129  0.18318432 -0.28813138],[-0.16280656  0.10296167 -0.18458416],[-0.05436695  0.2029063   0.36916833],[-0.12431498  0.16198858  0.40518475]
test00None (17).jpg.Extracted.png,[ 0.00912645 -0.08705436 -0.25201037],[ 0.07397065  0.06667791 -0.13709364],[-0.0830971   0.02165349  0.4105877 ],[ 0.00466947  0.33370388 -0.2044077 ],[-0.21607215  0.24195196  0.74330071],[-0.21192999  0.52438884 -0.33979461],[-0.30586747  0.41236325  0.42474326],[-0.18676482  0.52536713  0.0584022 ],[-0.30318235  0.47295531  0.51234656]
test00None (18).jpg.Extracted.png,[ 0.05491557 -0.09971766 -0.20785677],[ 0.03942257  0.11796349 -0.01520903],[-0.09433814 -0.01935192  0.23897825],[-0.18224705  0.25850995 -0.11236488],[-0.3300127   0.11016869  0.16854733],[-0.32132383  0.10860634 -0.15606234],[-0.23237937  0.25406958 -0.12484987],[-0.26507914  0.42140575  0.3870346 ],[-0.36871518  0.31894832  0.51188447]
test00None (19).jpg.Extracted.png,[ 0.02579686 -0.07783822 -0.26309687],[ 0.05296108  0.06803061 -0.09723145],[-0.07875794  0.01050655  0.38476668],[ 0.01583778  0.25942677 -0.27985887],[-0.23743552  0.06063134  0.38907209],[ 0.04356481  0.3321465  -0.62115018],[-0.27983472 -0.08081589 -0.13651652],[-0.15048074  0.4298395  -0.10238739],[-0.25745494  0.38285069  0.25255557]
test00None (2).jpg.Extracted.png,[ 0.01710437 -0.10127535 -0.37324265],[0.11698912 0.07942308 0.17542405],[-0.13409349  0.02463373  0.22168763],[0.20160094 0.30060973 0.23748295],[-0.33074924  0.17654195  0.26515087],[ 0.10050595  0.41392742 -0.23287163],[-0.25034448  0.33440623 -0.1775358 ],[-0.01295901  0.55294224  0.31356972],[-0.18768473  0.50979463  0.32740368]
test00None (20).jpg.Extracted.png,[ 0.04138587 -0.0663394  -0.2455597 ],[0.04494785 0.09469748 0.06548259],[-0.08633371 -0.03029143  0.19487503],[-0.01210018  0.29183192  0.13628632],[-0.25848037  0.05284758  0.24823579],[-0.06239665  0.47305371 -0.00973474],[-0.4052974   0.16544709  0.03407158],[-0.12956785  0.29962565  0.31151158],[-0.23921838  0.22461391  0.44779789]
test00None (21).jpg.Extracted.png,[ 0.03859504 -0.09419807 -0.2964598 ],[0.09321684 0.10041252 0.19661582],[-0.13181188 -0.00681026  0.10975747],[ 0.12554465  0.33395262 -0.02889309],[-0.37201976  0.08132525 -0.06139782],[ 0.24474478  0.30434484 -0.65731783],[-0.2916558   0.20860022 -0.55980365],[-0.12862078  0.47045599  0.58327928],[-0.2847345   0.38317074  0.52910474]
test00None (22).jpg.Extracted.png,[ 0.03062949 -0.11508687 -0.33155196],[0.11239758 0.10857942 0.15768935],[-0.14302707  0.00713221  0.19012707],[0.07828885 0.38614712 0.25563332],[-0.29879129  0.22639515  0.28119666],[ 5.19064146e-04  6.13567094e-01 -5.62393311e-02],[-0.37304741  0.44421243 -0.030676  ],[-0.11647001  0.57620446  0.65953397],[-0.29892106  0.50944482  0.65953397]
test00None (23).jpg.Extracted.png,[ 0.03063645 -0.09284168 -0.32928149],[0.09417067 0.07810821 0.15378531],[-0.12480712  0.01624785  0.19263108],[0.09124888 0.32540719 0.28275931],[-0.26349101  0.22969475  0.32951478],[ 0.05107683  0.53629158 -0.01113226],[-0.3403025   0.4230218   0.07569934],[-0.06812592  0.51569982  0.47646056],[-0.23038416  0.47569383  0.50317798]
test00None (24).jpg.Extracted.png,[ 0.03374865 -0.07498081 -0.27498845],[0.05487658 0.0845715  0.14579925],[-0.08862523 -0.01027181  0.13919696],[-0.01144576  0.23992533  0.21308157],[-0.24835155  0.0918969  -0.09102514],[-0.06787044  0.29197777  0.02068753],[-0.14036442  0.02913998 -0.5875259 ],[-0.13807778  0.34240945  0.20687532],[-0.24347674  0.28809551  0.21928783]
test00None (25).jpg.Extracted.png,[ 0.02140145 -0.07640847 -0.30486752],[0.10391198 0.07030641 0.16496256],[-0.12531343  0.00686852  0.1571293 ],[ 0.06438787  0.2875515  -0.02693224],[-0.19645996  0.1839786  -0.01224193],[-0.10762238  0.19360568 -0.40153523],[ 0.01176642  0.25755695 -0.26932241],[-0.06351467  0.5263291   0.20076762],[-0.22619255  0.48076423  0.1860773 ]
test00None (26).jpg.Extracted.png,[ 0.03902723 -0.0946014  -0.29354557],[0.08924835 0.08242773 0.19693563],[-0.12827558  0.0134785   0.10646254],[0.08286871 0.29621344 0.3674133 ],[-0.25631679  0.21891983  0.17827154],[0.03729855 0.44610636 0.13913876],[-0.25479631  0.39221045 -0.05000299],[-0.04950176  0.45717782  0.55003292],[-0.1913937   0.42822963  0.47176737]
test00None (27).jpg.Extracted.png,[ 0.04145152 -0.06848114 -0.19836371],[0.0572226  0.07178141 0.15677132],[-0.09867412 -0.00357275  0.04510989],[0.04712089 0.23969562 0.08824705],[-0.21232252  0.15092972  0.01411953],[-0.01506811  0.25375353 -0.17119927],[-0.11593759  0.22831901 -0.1076614 ],[-0.07551049  0.34134872  0.41123123],[-0.14808478  0.31943576  0.30533478]
test00None (28).jpg.Extracted.png,[-0.02176218 -0.03545506 -0.16196415],[0.07401855 0.03870234 0.03527932],[-0.05225637 -0.00336839  0.1316129 ],[0.07813644 0.19691144 0.05009653],[-0.09965636  0.06545758  0.25942846],[-0.05253577  0.23754648 -0.00894581],[-0.10053307  0.10872275  0.29700085],[0.03302279 0.18867247 0.45265793],[-0.03696623  0.1592868   0.49559781]
test00None (29).jpg.Extracted.png,[ 0.07063352 -0.03541951 -0.22230526],[0.07974845 0.07201515 0.18072298],[-0.15038197 -0.04072612  0.04719478],[0.01954239 0.31092507 0.0429404 ],[-0.34337023  0.12259848 -0.05227527],[-0.04049094  0.30501253 -0.36032598],[-0.22021445  0.26222965 -0.28191307],[-0.13129383  0.34623423  0.60863352],[-0.28320404  0.28633378  0.54142245]
test00None (3).jpg.Extracted.png,[ 0.04633472 -0.11761306 -0.31044614],[0.10602884 0.11271939 0.03558474],[-0.15236356  0.00539698  0.30259864],[ 0.00638603  0.48955947 -0.10864775],[-0.37166865  0.23493799  0.20710978],[-0.20425383  0.61773039 -0.42949815],[-0.4184785   0.33163813 -0.45496247],[-0.23576964  0.64404911  0.53305304],[-0.43516865  0.53733309  0.61453886]
