path,index0,index1,index2,index3,index4,index5,index6,index7,index8
train01Infarct (1).jpg.Extracted.png,[-0.06493008 -0.05675395],[0.19833249 0.08496941],[-0.13340241 -0.03130585],[0.2858668  0.39837419],[-0.32149119  0.23256917],[0.00765545 0.435704  ],[-0.25763257  0.28536149],[-0.03532121  0.6085202 ],[-0.25983067  0.51472194]
train01Infarct (10).jpg.Extracted.png,[-0.00736458 -0.09837402],[0.14655474 0.15683771],[-0.13919016 -0.06542542],[-0.02984167  0.48429421],[-0.40148851  0.22296797],[-0.27896352  0.44055526],[-0.12648126  0.1812202 ],[-0.12013855  0.47720202],[-0.28436657  0.31301875]
train01Infarct (100).jpg.Extracted.png,[0.05515467 0.01531637],[0.09366852 0.10347729],[-0.14882319 -0.13492038],[0.01425161 0.42838838],[-0.45508186  0.07801219],[-0.0485718   0.74231149],[-0.17004976  0.11019949],[-0.22841348  0.3736118 ],[-0.35071552  0.27768008]
train01Infarct (101).jpg.Extracted.png,[ 0.08537348 -0.13224549],[0.08218903 0.15403619],[-0.16756251 -0.0251183 ],[0.10334344 0.47394584],[-0.42686108  0.15620898],[-0.01651804  0.31411276],[-0.61038932  0.35173936],[-0.25308591  0.50610432],[-0.41449653  0.37013695]
train01Infarct (102).jpg.Extracted.png,[0.13049706 0.00860754],[0.09427147 0.08092506],[-0.22476853 -0.10909972],[-0.14120328  0.38371634],[-0.6056077   0.28324596],[-0.23586642  0.51714922],[-0.11603173  0.1946059 ],[-0.37786113  0.71729855],[-0.61973008  0.57527301]
train01Infarct (103).jpg.Extracted.png,[ 0.02637925 -0.10624078],[0.13208201 0.14150065],[-0.15846126 -0.04075767],[0.15615666 0.49120198],[-0.3948843   0.13689161],[-0.00544266  0.29153053],[-0.25305342  0.11364865],[-0.14301555  0.58557044],[-0.33299013  0.47600946]
train01Infarct (104).jpg.Extracted.png,[ 0.05410989 -0.11344022],[0.17161683 0.20611351],[-0.22572672 -0.11040536],[0.12046831 0.6624218 ],[-0.64747024  0.32194229],[-0.0293991   0.55928648],[-0.33445153  0.42877153],[-0.36125271  0.88657344],[-0.69712499  0.63558003]
train01Infarct (105).jpg.Extracted.png,[ 0.06981756 -0.10832002],[0.13320231 0.16406465],[-0.20301987 -0.06725345],[0.16872634 0.57200498],[-0.5933795   0.00404319],[0.03352774 0.32522852],[-0.24843156  0.13888712],[-0.2587878   0.79892015],[-0.51804849  0.63605762]
train01Infarct (106).jpg.Extracted.png,[ 0.07936973 -0.11046713],[0.19631425 0.18609709],[-0.27568398 -0.09667107],[0.04212748 0.66697601],[-0.68502079  0.34339334],[0.04395297 0.60764751],[-0.31962116  0.44585617],[-0.23605313  0.81391876],[-0.60283598  0.61713254]
train01Infarct (107).jpg.Extracted.png,[ 0.06819653 -0.1117279 ],[0.13857094 0.14122113],[-0.20676747 -0.03567275],[0.12469145 0.55440383],[-0.47297202  0.25761356],[-0.11804858  0.38771651],[-0.27887073  0.27932439],[-0.2041466   0.73577026],[-0.41626463  0.5764387 ]
train01Infarct (108).jpg.Extracted.png,[ 0.05203263 -0.10973334],[0.14888452 0.15634513],[-0.20091715 -0.05529241],[0.26461737 0.59979254],[-0.55245481  0.12498515],[0.01153586 0.35597623],[-0.24162552  0.22780379],[-0.2168993   0.69725973],[-0.48892199  0.5512301 ]
train01Infarct (109).jpg.Extracted.png,[ 0.13447612 -0.08593795],[0.07837646 0.10931474],[-0.21285258 -0.02887397],[0.09053959 0.48787356],[-0.49841083  0.28161666],[0.08510722 0.23994919],[-0.56284805  0.59733015],[-0.19269522  0.70389718],[-0.40019463  0.61585224]
train01Infarct (11).jpg.Extracted.png,[ 0.0099862  -0.10805039],[0.1288601  0.11248323],[-0.13884629 -0.00505407],[0.00387301 0.4304449 ],[-0.40148456  0.23230481],[0.00921811 0.01916804],[-0.25108723  0.24347631],[-0.13573279  0.61330968],[-0.33698875  0.51770592]
train01Infarct (110).jpg.Extracted.png,[ 0.1216733  -0.08390621],[0.08403898 0.11138939],[-0.20571228 -0.03341599],[-0.02919258  0.45884994],[-0.5045241   0.34602861],[-0.02598079  0.4141102 ],[-0.20185472  0.26432506],[-0.23014105  0.72099154],[-0.49104301  0.6280608 ]
