path,index0,index1,index2,index3,index4,index5,index6,index7,index8
train01Infarct (1).jpg.Extracted.png,[-0.05111854 -0.04354622 -0.27017893],[0.12673586 0.07011932 0.03769939],[-0.07561732 -0.02752427  0.24361365],[ 0.19063614  0.30719923 -0.06843009],[-0.249781    0.16324442  0.18516379],[ 0.00466262  0.29357694 -0.37032757],[-0.18617355  0.1857643  -0.40252997],[-0.034742    0.41998486  0.61989615],[-0.17082002  0.35321152  0.75273104]
train01Infarct (10).jpg.Extracted.png,[ 0.00222318 -0.05820846 -0.22909315],[0.09006993 0.0959239  0.11967552],[-0.09229311 -0.03948367  0.11636772],[-0.05238162  0.30549287  0.07997205],[-0.25698438  0.13576277 -0.06397764],[-0.16310705  0.24849255 -0.08397065],[-0.0851991   0.12744765 -0.30389379],[-0.07858332  0.33142587  0.76773168],[-0.18617878  0.26217437  0.74374007]
train01Infarct (100).jpg.Extracted.png,[ 0.03714643  0.01937242 -0.21670222],[0.05008265 0.06545909 0.18800068],[-0.09988249 -0.09865766  0.02507767],[-0.03030749  0.2473801   0.19138219],[-0.26265563  0.01390456 -0.20458097],[-0.07979812  0.39198962 -0.03431681],[-0.10377618  0.06383363 -0.40256255],[-0.14774466  0.20751409  0.85264067],[-0.24407446  0.1243477   0.75760951]
train01Infarct (101).jpg.Extracted.png,[ 0.05263121 -0.08582371 -0.2688954 ],[0.05142644 0.10628379 0.0713656 ],[-0.10405765 -0.02173492  0.21185921],[ 0.06021959  0.37669275 -0.24507836],[-0.31893424  0.127376    0.29918657],[-0.0375713   0.24391629 -0.72250373],[-0.45762423  0.24394238  0.10821642],[-0.23654466  0.41312192  0.55222201],[-0.35338063  0.30226906  0.64770709]
train01Infarct (102).jpg.Extracted.png,[ 0.07307104  0.01551106 -0.24959055],[0.03679281 0.05378965 0.2877125 ],[-0.14402847 -0.0916501  -0.05858762],[-0.1142976   0.21177823  0.57482189],[-0.35758959  0.05772704 -0.23435046],[-0.19710554  0.26331334  0.53171025],[-0.13988446  0.07271294 -0.2277179 ],[-0.26760191  0.26442163  0.95951039],[-0.37621355  0.20279151  0.73068706]
train01Infarct (103).jpg.Extracted.png,[ 0.00968534 -0.06233324 -0.28161568],[0.07438531 0.08993983 0.11615277],[-0.08407065 -0.02883617  0.17436272],[ 0.06599551  0.31692215 -0.1353135 ],[-0.26358877  0.06667522 -0.09512137],[-0.03240786  0.17946914 -0.56536929],[-0.17195828  0.0621891  -0.52115794],[-0.09365507  0.35083024  0.74891334],[-0.20942031  0.27645967  0.76499019]
train01Infarct (104).jpg.Extracted.png,[ 0.03684734 -0.07305344 -0.46038601],[0.11505546 0.13774593 0.22698101],[-0.15190281 -0.06973833  0.25976654],[ 0.10424316  0.48604372 -0.18275036],[-0.4664716   0.22902601 -0.1296938 ],[-0.04155468  0.41846644 -1.25272421],[-0.29011885  0.28998305 -1.27925249],[-0.24464297  0.60322179  0.68384004],[-0.46794842  0.44367424  0.65731176]
train01Infarct (105).jpg.Extracted.png,[ 0.05305226 -0.09566339 -0.33400534],[0.1148525  0.14645811 0.17508345],[-0.16790476 -0.0573677   0.18416866],[ 0.11572632  0.48517437 -0.3641454 ],[-0.51730028 -0.01423762 -0.51050049],[ 0.00766641  0.24532519 -1.09592084],[-0.21904035  0.10039349 -1.06978601],[-0.21611981  0.64288341  0.534893  ],[-0.43296975  0.51401468  0.46694243]
train01Infarct (106).jpg.Extracted.png,[ 0.05624417 -0.00894279 -0.30838464],[0.06342043 0.08637455 0.23705968],[-0.14828246 -0.09763429  0.07925763],[-0.05396514  0.2692437   0.30853863],[-0.36130764  0.02579408 -0.07076574],[-0.07076889  0.25731497  0.01698378],[-0.21316425  0.14287951 -0.32835303],[-0.23433311  0.26136332  0.93410777],[-0.33252881  0.12966829  0.85768077]
train01Infarct (107).jpg.Extracted.png,[ 0.04583496 -0.08153029 -0.30517608],[0.0997859  0.09568936 0.16712024],[-0.14562086 -0.01546189  0.15163804],[0.07628516 0.36809953 0.04034084],[-0.3462898   0.18193352 -0.04930547],[-0.09448855  0.28887118 -0.41237301],[-0.21676303  0.22226103 -0.57373636],[-0.15003399  0.51510314  0.67682961],[-0.30513006  0.42338341  0.69475887]
train01Infarct (108).jpg.Extracted.png,[ 0.03058606 -0.07070804 -0.340305  ],[0.09116894 0.09983164 0.17653322],[-0.121755   -0.03085438  0.17545902],[ 0.15878039  0.37497383 -0.13404997],[-0.36132944  0.07333834 -0.20173857],[ 0.02194822  0.2372158  -0.70741222],[-0.16228372  0.15033673 -0.65565035],[-0.14098167  0.44220728  0.793682  ],[-0.29459509  0.34988878  0.75784686]
train01Infarct (109).jpg.Extracted.png,[ 0.10154678 -0.0655703  -0.26421944],[0.06546959 0.08802924 0.18194752],[-0.16701637 -0.0254535   0.09411353],[ 0.07201044  0.36222459 -0.06152548],[-0.39770965  0.20234673  0.07690685],[ 0.0483397   0.17539445 -0.67870298],[-0.45057009  0.44713173 -0.17688576],[-0.16299877  0.53410418  0.62486818],[-0.33233115  0.45975306  0.56142003]
train01Infarct (11).jpg.Extracted.png,[ 0.01319658 -0.09742518 -0.30203492],[0.12184842 0.09140066 0.09537945],[-0.135045    0.00669985  0.22921159],[ 0.03070559  0.36453052 -0.32224307],[-0.36343304  0.22863381 -0.0694062 ],[ 0.03593056  0.03034772 -0.91715335],[-0.1958764   0.23676948 -0.77338336],[-0.09524222  0.55981047  0.347031  ],[-0.28219563  0.47988526  0.42635237]
train01Infarct (110).jpg.Extracted.png,[ 0.11229692 -0.06320657 -0.31432123],[0.06003714 0.11055771 0.30403353],[-0.20385314 -0.0602354  -0.01161903],[-0.08727893  0.38552355 -0.01161903],[-0.44098321  0.21483958 -0.49961847],[-0.07953681  0.32103424 -0.73780868],[-0.21387536  0.19761974 -1.01085598],[-0.29592481  0.55411459  0.67971351],[-0.47855377  0.4406032   0.48218992]
train01Infarct (111).jpg.Extracted.png,[ 0.05211824 -0.08860222 -0.26889541],[0.05958702 0.12220442 0.04964223],[-0.11170526 -0.03635986  0.24049313],[-3.01271267e-04  4.10238289e-01 -2.63723340e-01],[-0.32571151  0.15348063  0.25317441],[-0.03719924  0.20432714 -0.75424875],[-0.42905377  0.29832378 -0.0632936 ],[-0.21884718  0.47615147  0.44832968],[-0.3685262   0.37070342  0.53272115]
train01Infarct (112).jpg.Extracted.png,[ 0.04136251 -0.1006748  -0.24422765],[0.06817296 0.11697806 0.00663662],[-0.10953548 -0.01755968  0.25743821],[ 0.02335741  0.43012766 -0.1816386 ],[-0.29224402  0.18375065  0.45581007],[-0.06400248  0.27752431 -0.4900815 ],[-0.38719721  0.33370003  0.29130719],[-0.16253117  0.50381222  0.46095078],[-0.3057719   0.40605761  0.60489081]
train01Infarct (113).jpg.Extracted.png,[ 0.03383834 -0.0818877  -0.2533205 ],[0.08957778 0.08238912 0.04152795],[-0.12341613 -0.0005476   0.23134615],[ 0.04421337  0.34190485 -0.30336241],[-0.34541579  0.16233141  0.460274  ],[-0.01082355  0.11306267 -0.87347452],[-0.48104785  0.29178261  0.28244086],[-0.19727192  0.50542117  0.43412207],[-0.34472173  0.42468534  0.53872979]
