path,index0,index1,index2,index3,index4,index5,index6,index7,index8
train00None (1).jpg.Extracted.png,[ 0.05010644 -0.09065339],[-0.03663169  0.05780627],[-0.01363469  0.03521541],[-0.25944844  0.16023013],[-0.15486881  0.22349937],[-0.35976157  0.00750021],[-0.23263054  0.44395125],[-0.2047291   0.46993954],[-0.19556971  0.46589316]
train00None (10).jpg.Extracted.png,[ 0.04140399 -0.11911999],[0.11610452 0.08407195],[-0.15750851  0.04114127],[0.12174293 0.3352368 ],[-0.29676666  0.26560527],[0.06904161 0.55467164],[-0.41385287  0.44472713],[-0.04707358  0.53788239],[-0.23073731  0.46482098]
train00None (100).jpg.Extracted.png,[-0.01064037 -0.18785621],[0.10311155 0.2169159 ],[-0.09247119 -0.0316006 ],[-0.07091467  0.67300261],[-0.35386592  0.18637956],[-0.46931014  0.81474507],[-0.62727336  0.31707651],[-0.29374856  0.77138213],[-0.40031913  0.56578668]
train00None (101).jpg.Extracted.png,[ 0.00414027 -0.11215583],[0.04581296 0.08138241],[-0.04995323  0.03169002],[-0.13053531  0.20047845],[-0.19204794  0.12493934],[-0.29302054  0.18223242],[-0.31495707  0.13068155],[-0.08525571  0.29510236],[-0.12201877  0.25415845]
train00None (102).jpg.Extracted.png,[ 0.01248798 -0.09870739],[0.12908608 0.09136042],[-0.14157406  0.00848314],[0.19248033 0.37699626],[-0.2746644   0.20134881],[0.05874288 0.44925711],[-0.32115931  0.35000338],[-0.08842644  0.60223829],[-0.26388016  0.54108456]
train00None (103).jpg.Extracted.png,[ 0.02473619 -0.08464301],[0.07922654 0.09590256],[-0.10396273 -0.01230939],[0.01190411 0.28820793],[-0.24690822  0.14940086],[-0.13255834  0.37370611],[-0.26001757  0.31173801],[-0.07572643  0.2873179 ],[-0.19026173  0.2140205 ]
train00None (104).jpg.Extracted.png,[ 0.06179886 -0.03841854],[0.00881303 0.114242  ],[-0.07061189 -0.07876955],[-0.10505288  0.27094609],[-0.09193438 -0.22340897],[-0.19176082  0.38363646],[-0.05205471 -0.22860546],[-0.26548504  0.25725851],[-0.34033241  0.14056969]
train00None (105).jpg.Extracted.png,[ 0.08329812 -0.03747982],[0.06128685 0.06623601],[-0.14458497 -0.03191746],[-0.03398711  0.24041193],[-0.32216442  0.13385146],[-0.12996135  0.37225948],[-0.39396031  0.29232475],[-0.14899851  0.32347572],[-0.29112842  0.2718175 ]
train00None (106).jpg.Extracted.png,[ 0.11456178 -0.10237726],[-0.13327641  0.010165  ],[0.02111826 0.10541068],[-0.31712459  0.3709589 ],[-0.19844792  0.49894355],[-0.46154164  0.67850457],[-0.48431749  0.67679917],[-0.38887888  0.7480753 ],[-0.31946753  0.76930513]
train00None (107).jpg.Extracted.png,[ 0.03323951 -0.07039635],[0.05504812 0.07521273],[-0.08828763 -0.0052017 ],[0.08604097 0.23416777],[-0.18881716  0.06756686],[0.07953052 0.15170199],[-0.12463073  0.01143503],[-0.09963225  0.30786948],[-0.19699696  0.24693829]
