path,index0,index1,index2,index3,index4,index5,index6,index7,index8
train00None (1).jpg.Extracted.png,[ 0.02220839 -0.05949655 -0.21704431],[ 0.00904786  0.04496514 -0.21261483],[-0.03125625  0.01480934  0.43617657],[-0.14356275  0.186823   -0.33398313],[-0.20673037  0.09494283  0.53189905],[-0.20787887  0.04785425 -0.11132771],[-0.28942251  0.03522073  0.03092436],[-0.19754235  0.40503838  0.16080669],[-0.19869085  0.39125636  0.72981498]
train00None (10).jpg.Extracted.png,[ 0.03914415 -0.09852525 -0.37241325],[0.09445709 0.07997957 0.25531424],[-0.13360124  0.02088049  0.13093357],[0.0916959  0.32993239 0.4922959 ],[-0.26919466  0.23031033  0.2540882 ],[0.04032321 0.52765905 0.07032799],[-0.38004299  0.38915757 -0.09982037],[-0.0491186   0.49411285  0.43104249],[-0.21687908  0.43740694  0.28131194]
train00None (100).jpg.Extracted.png,[ 0.00196811 -0.09222728 -0.15088545],[ 0.05054291  0.10808744 -0.26245568],[-0.05251102 -0.01626199  0.42561752],[-0.05330199  0.46946918 -0.57098951],[-0.28659874  0.14642332  0.76240077],[-0.34319753  0.58909694 -0.5758559 ],[-0.52890907  0.24576113  0.38282251],[-0.22156152  0.57206922  0.31955947],[-0.31491228  0.4406748   0.95705629]
train00None (101).jpg.Extracted.png,[ 0.01723939 -0.06793142 -0.06861796],[-0.04395098  0.04168555 -0.10292694],[0.02671159 0.02590844 0.16612473],[-0.16378949  0.15458103 -0.04121377],[-0.00225538  0.16121307  0.32971016],[-0.25762557  0.13506284  0.05887681],[-0.04995976  0.23071541  0.37092393],[-0.12476529  0.25468342  0.17074276],[-0.09440907  0.23661598  0.39447465]
train00None (102).jpg.Extracted.png,[ 0.01336168 -0.08826226 -0.33166613],[0.10058444 0.07454875 0.07612009],[-0.11394612  0.01504421  0.27924754],[0.18094253 0.32873176 0.13777285],[-0.24409841  0.18375891  0.44776176],[ 0.05835385  0.41810129 -0.15843878],[-0.28702801  0.35053847  0.08266371],[-0.08120911  0.54578073  0.26176841],[-0.22454076  0.49466033  0.48220497]
train00None (103).jpg.Extracted.png,[ 0.02031898 -0.06494533 -0.17794074],[0.05927031 0.07581916 0.07533258],[-0.07958929 -0.01145571  0.10865709],[0.00366822 0.22810472 0.04566487],[-0.18579643  0.10572573  0.09869505],[-0.10203501  0.29393013 -0.10458729],[-0.22063326  0.23402338 -0.08249138],[-0.06758075  0.22702451  0.56712827],[-0.14744891  0.17976525  0.58480499]
train00None (104).jpg.Extracted.png,[ 0.04884809 -0.02616978 -0.20902753],[0.01385171 0.09428628 0.12428664],[-0.0626998  -0.07022361  0.09232862],[-0.07161409  0.22344555  0.08949787],[-0.07731884 -0.20994983 -0.33242065],[-0.15668697  0.32225416 -0.05753434],[-0.0162281  -0.22518098 -0.65205588],[-0.2403752   0.22538406  0.37716958],[-0.30501065  0.12175687  0.35159876]
train00None (105).jpg.Extracted.png,[ 0.0742725  -0.02398618 -0.2280217 ],[0.03660284 0.07847136 0.22136525],[-0.12050312 -0.06075509 -0.00728888],[-0.0693885   0.19632042  0.32071057],[-0.28828318  0.04358079 -0.0116622 ],[-0.16987037  0.26644379  0.15015086],[-0.38344129  0.16442685 -0.09038207],[-0.2083778   0.25163199  0.62684338],[-0.30819012  0.18443178  0.40817708]
train00None (106).jpg.Extracted.png,[ 0.10923873 -0.09623412  0.14896951],[-0.12334373  0.00541123  0.41934814],[ 0.01821086  0.11791858 -0.68385226],[-0.32275851  0.34729797  0.56987688],[-0.2038067   0.48872277 -0.86906225],[-0.45798387  0.63828434  0.31343229],[-0.42659919  0.6743186  -0.8049511 ],[-0.40063902  0.72352668  0.52713612],[-0.32973289  0.77583449 -0.2564446 ]
train00None (107).jpg.Extracted.png,[ 0.0343442  -0.0653859  -0.17721277],[0.05076438 0.06751212 0.10829669],[-0.08510857 -0.00227749  0.07390465],[ 0.0671128   0.21065287 -0.19510636],[-0.17729646  0.08145992 -0.27640067],[ 0.05544756  0.14223519 -0.6178368 ],[-0.11157379  0.01873716 -0.65577415],[-0.08861709  0.27927709  0.33059688],[-0.17869315  0.22938019  0.3089184 ]
