path,index0,index1,index2,index3,index4,index5,index6,index7,index8,index9
val01Infarct (1).jpg.Extracted.png,[-0.51624309  0.06861878],[ 0.9840884  -0.17767956],[-0.4678453   0.10906077],[2.5719337  0.55325967],[-0.20033149  0.84629834],[1.50685083 1.40983425],[0.34994475 1.49104972],[1.68718232 0.92353591],[1.07723757 1.11248619],[0. 0.]
val01Infarct (10).jpg.Extracted.png,[-0.65609065 -0.44419263],[ 0.70368272 -0.55467422],[-0.04759207  0.99886686],[ 2.6592068  -0.18668555],[1.53229462 2.14362606],[1.61643059 0.10991501],[1.56628895 0.71586402],[3.36373938 1.72294618],[2.7407932  2.38668555],[0. 0.]
val01Infarct (100).jpg.Extracted.png,[ 0.16780156 -0.5598249 ],[0.70068093 0.06410506],[-0.86848249  0.49571984],[1.60359922 1.21741245],[-0.66624514  1.83492218],[1.09085603 0.4963035 ],[0.22879377 0.93929961],[1.02373541 2.32023346],[0.02743191 2.66108949],[0. 0.]
val01Infarct (101).jpg.Extracted.png,[-0.05356617 -0.31443147],[0.84616894 0.53291475],[-0.79260277 -0.21848327],[0.72402629 1.92033749],[-1.73707446  0.3748651 ],[-0.42499755  1.18659865],[-1.374767    0.72687138],[-0.17806338  1.93829098],[-0.9444717   1.59334838],[0. 0.]
val01Infarct (102).jpg.Extracted.png,[ 0.15348968 -0.41496981],[0.83513551 0.26456958],[-0.98862519  0.15040022],[0.89537986 1.39446707],[-1.34882741  1.38772644],[0.83450358 2.25621401],[0.0089875  1.00772363],[0.22911108 2.25157983],[-0.73290268  2.19828676],[0. 0.]
val01Infarct (103).jpg.Extracted.png,[-0.11091434 -0.32994687],[0.86410663 0.50330879],[-0.75319228 -0.17336192],[0.74275329 1.73054339],[-1.50787585  0.73287352],[-0.06449809  0.94258552],[-0.80659894  0.80221829],[-0.30832324  1.95675273],[-1.05349986  1.60555504],[0. 0.]
val01Infarct (104).jpg.Extracted.png,[ 1.13559322 -0.40677966],[-0.13559322  0.40677966],[-1.  0.],[-0.94915254  1.6779661 ],[-2.22033898  1.93220339],[-0.74576271  2.54237288],[-0.84745763  2.74576271],[-1.91525424  1.93220339],[-2.83050847  1.77966102],[0. 0.]
val01Infarct (105).jpg.Extracted.png,[-0.09005386 -0.37364452],[0.99985637 0.01694794],[-0.90980251  0.35669659],[1.2967325  0.98556553],[-0.91949731  1.50068223],[1.04208259 1.03425494],[0.07583483 1.05149013],[0.75684022 1.69285458],[-0.18463196  1.78657092],[0. 0.]
val01Infarct (106).jpg.Extracted.png,[-0.05157593 -0.51432665],[0.85673352 0.51575931],[-0.80515759 -0.00143266],[0.98997135 1.63610315],[-1.32378223  0.96561605],[0.09455587 1.35959885],[-0.60315186  0.9713467 ],[0.07879656 2.21633238],[-0.71776504  1.88395415],[0. 0.]
val01Infarct (107).jpg.Extracted.png,[ 0.32390117 -0.48187256],[0.57388817 0.81893368],[-0.89778934 -0.33706112],[0.02912874 2.19401821],[-1.92847854  0.5656697 ],[-0.70897269  2.95630689],[-0.68462939  0.84702211],[-0.98143043  2.44868661],[-1.89118336  1.85336801],[0. 0.]
val01Infarct (108).jpg.Extracted.png,[ 0.30271552 -0.29656185],[0.66465308 0.04318862],[-0.9673686   0.25337323],[0.88279795 1.56054875],[-0.89843618  1.49449557],[0.7217298  2.60401965],[0.14232485 0.92863998],[0.64026421 2.50087506],[-0.36865579  2.60808446],[0. 0.]
