path,index0,index1,index2,index3,index4,index5,index6,index7,index8
val01Infarct (1).jpg.Extracted.png,[-0.04132111 -0.03635809 -0.20998549],[0.11461368 0.04985457 0.00963236],[-0.07329256 -0.01385738  0.20668452],[0.14267895 0.26665067 0.16774526],[-0.10450361  0.11912044  0.51892417],[0.02856002 0.32076593 0.27635729],[-0.10400927  0.2378774   0.56236899],[0.13760473 0.26733402 0.76149106],[0.00611135 0.23079677 0.8882051 ]
val01Infarct (10).jpg.Extracted.png,[ 0.03645456 -0.10422444 -0.30026525],[0.08943307 0.0785049  0.15638815],[-0.12588763  0.02793846  0.15423119],[ 0.14630762  0.38935982 -0.12541315],[-0.24467439  0.29865531 -0.02950898],[ 0.04779589  0.22118371 -0.69346094],[-0.10348184  0.26125523 -0.44263464],[-0.1083277   0.54854831  0.53853882],[-0.2369293   0.49087432  0.53853882]
val01Infarct (100).jpg.Extracted.png,[ 0.10641526 -0.08281599 -0.53969689],[0.11799445 0.154087   0.3785374 ],[-0.2244097  -0.08337834  0.19787117],[ 0.07034472  0.69797371 -0.16394168],[-0.58452438  0.29376759 -0.55842634],[ 0.02709982  0.43505191 -1.50621418],[-0.15969724  0.27470523 -1.80335847],[-0.3001321   0.79923956  0.49182504],[-0.63043457  0.61308154  0.38936149]
val01Infarct (101).jpg.Extracted.png,[ 0.00416918 -0.01984821 -0.22382215],[0.05739137 0.0626135  0.09025087],[-0.06156055 -0.04382773  0.13875178],[-0.00268607  0.20712154 -0.03727251],[-0.18895239 -0.01126584  0.01384408],[-0.08430192  0.09773226 -0.3088294 ],[-0.16264308  0.02462167 -0.27688154],[-0.06796199  0.17278197  0.8412939 ],[-0.14245846  0.11733013  0.84768347]
val01Infarct (102).jpg.Extracted.png,[ 0.05489074 -0.03215499 -0.24254215],[0.07840788 0.07043731 0.18219673],[-0.13329861 -0.04160687  0.06644451],[0.03619021 0.25527102 0.11839258],[-0.28132842  0.11411575 -0.16413517],[-0.01697845  0.34717262 -0.22064072],[-0.05838194  0.15340702 -0.41841014],[-0.11226364  0.33600613  0.75206196],[-0.24928865  0.26524014  0.73591752]
val01Infarct (103).jpg.Extracted.png,[-0.02057206 -0.00984151 -0.21884332],[0.10698764 0.05911612 0.08854932],[-0.08641558 -0.05174098  0.13876286],[ 0.05775183  0.25257269 -0.04835279],[-0.22306642  0.05356335  0.00151102],[ 0.00278243  0.11227035 -0.31580416],[-0.12296107  0.06047791 -0.31127109],[-0.0620827   0.28165476  0.74946826],[-0.16661978  0.21408432  0.7585344 ]
val01Infarct (104).jpg.Extracted.png,[ 0.08789963  0.00781079 -0.20198276],[-0.00052355  0.02806965  0.29268238],[-0.10318342 -0.04235951 -0.10982389],[-0.14950317  0.11113732  0.20420379],[-0.2649015   0.080458   -0.04289996],[-0.14975382  0.13885898 -0.0943799 ],[-0.17466823  0.1453257   0.24538775],[-0.26906226  0.11770429  0.58515541],[-0.3480665   0.07970606  0.26597973]
val01Infarct (105).jpg.Extracted.png,[ 0.02089575 -0.06183231 -0.25801145],[0.11911332 0.06917474 0.14616412],[-0.14000906 -0.0078681   0.12016287],[ 0.12785643  0.28209974 -0.09396867],[-0.23823155  0.18389856 -0.07578118],[ 0.07835104  0.24854642 -0.53956203],[-0.07343349  0.18659722 -0.37587467],[-0.01535237  0.33997096  0.7744837 ],[-0.16845624  0.31262456  0.8381399 ]
val01Infarct (106).jpg.Extracted.png,[ 0.01053414 -0.0662556  -0.25960416],[0.09898967 0.08765764 0.08353599],[-0.10952382 -0.0227238   0.18836872],[ 0.09242554  0.32981096 -0.13169847],[-0.28550119  0.12626233  0.00803039],[-0.03825539  0.23473297 -0.47861149],[-0.16025553  0.14383895 -0.387065  ],[-0.05551919  0.38152416  0.6681288 ],[-0.18588729  0.30799171  0.77413   ]
val01Infarct (107).jpg.Extracted.png,[ 0.0677573  -0.07372012 -0.37123369],[0.0863053  0.13896253 0.27376693],[-0.15406261 -0.07194502  0.11129736],[0.01863174 0.41323135 0.24169313],[-0.4626058   0.12444922 -0.3193172 ],[-0.08543674  0.45793961 -0.19229599],[-0.19013882  0.22299352 -0.81681692],[-0.21803694  0.55339512  0.66509715],[-0.4296785   0.42226012  0.57512379]
