path,index0,index1,index2,index3,index4,index5,index6,index7,index8,index9
val00None (1).jpg.Extracted.png,[-0.31447587 -0.69051581],[ 0.71381032 -0.22628952],[-0.39933444  0.91680532],[1.81073211 0.65848586],[0.5515807  2.05241265],[1.82570715 0.28660566],[0.70507488 0.8656406 ],[2.48460899 1.92387687],[1.7233777  2.57778702],[0. 0.]
val00None (10).jpg.Extracted.png,[-0.7810317  -0.64293391],[ 0.99946265 -0.03277808],[-0.21843095  0.67571198],[0.94062332 2.37802257],[-0.48280494  2.54889844],[-0.11848469  3.77243418],[-0.80198818  1.07872112],[2.31972058 2.5029554 ],[1.53143471 2.41751746],[0. 0.]
val00None (100).jpg.Extracted.png,[ 0.39071118 -0.37097242],[0.56226415 0.06792453],[-0.95297533  0.3030479 ],[1.07692308 1.38461538],[-1.4563135   1.72597968],[1.35036284 2.48011611],[-0.82148041  2.81712627],[0.16429608 1.83657475],[-0.51146589  2.14833091],[0. 0.]
val00None (101).jpg.Extracted.png,[ 0.14231082 -0.44043938],[ 0.72082994 -0.064524  ],[-0.86314076  0.50496338],[1.33913751 0.66509357],[-1.39454841  1.85459723],[1.62327095 1.09275834],[-0.50650936  1.61391375],[0.80333605 1.7916192 ],[-0.09886086  1.98006509],[0. 0.]
val00None (102).jpg.Extracted.png,[-0.32964675 -0.7383625 ],[0.75932651 0.65070981],[-0.42967976  0.08765269],[0.75734566 2.211621  ],[-0.99422252  0.94734236],[-0.13799934  2.7434797 ],[-1.66077914  1.1939584 ],[-0.29597227  2.72614724],[-1.0739518   2.27401783],[0. 0.]
val00None (103).jpg.Extracted.png,[ 0.02844557 -0.64857399],[0.90667463 0.42183067],[-0.9351202   0.22674332],[1.19471405 1.75989249],[-1.48812901  1.16634314],[0.67171868 1.72383157],[-1.47088248  1.56838883],[0.17179334 2.3034941 ],[-0.85739884  2.15544274],[0. 0.]
val00None (104).jpg.Extracted.png,[-0.35162415 -0.28133602],[ 0.67296752 -0.66562672],[-0.32134337  0.94696275],[ 2.00972656 -0.82363736],[-0.24866948  2.09487979],[ 3.36024959 -1.2415122 ],[0.11635162 2.88328134],[1.83189576 0.25380804],[1.84290696 1.24591668],[0. 0.]
val00None (105).jpg.Extracted.png,[ 0.6199095  -0.86425339],[0.15384615 0.23076923],[-0.77375566  0.63348416],[1.03167421 1.48868778],[0.33031674 2.52488688],[1.98190045 2.14932127],[2.28506787 2.39819005],[0.29864253 3.0361991 ],[-0.26696833  3.45248869],[0. 0.]
val00None (106).jpg.Extracted.png,[ 0.22896374 -0.67949771],[0.69581035 0.71822556],[-0.92477409 -0.03872785],[0.3891562  1.85893674],[-1.75390212  0.66893557],[-0.14071118  2.69334585],[-1.85318625  1.40335641],[-0.63677972  2.44795212],[-1.52646403  1.96526229],[0. 0.]
val00None (107).jpg.Extracted.png,[-0.21387014 -0.75191994],[0.94577612 0.07051431],[-0.73190598  0.68140563],[1.43797999 1.69653246],[-0.30672562  2.13707238],[0.86199674 2.85757505],[0.22457529 2.86246218],[1.42471492 2.53781708],[0.30975099 2.82895043],[0. 0.]
val00None (108).jpg.Extracted.png,[-0.1   -0.675],[0.9   0.075],[-0.8  0.6],[1.4625 1.1375],[-0.675  1.725],[1.3625 1.8375],[-0.0875  2.3625],[1.2   1.975],[0.2375 2.3375],[0. 0.]
val00None (109).jpg.Extracted.png,[ 0.01618497 -0.49479769],[0.81271676 0.58265896],[-0.82890173 -0.08786127],[0.19306358 1.95491329],[-1.36531792  1.02543353],[-0.81618497  2.09479769],[-1.41040462  1.83236994],[-0.30520231  2.61618497],[-1.23468208  2.17456647],[0. 0.]
val00None (11).jpg.Extracted.png,[ 0.70833333 -0.875     ],[0. 1.],[-0.70833333 -0.125     ],[-2.20833333  1.45833333],[-2.75        0.16666667],[-2.29166667  0.54166667],[-2.04166667  0.875     ],[-3.33333333  3.33333333],[-3.75  2.75],[0. 0.]
val00None (110).jpg.Extracted.png,[ 0.54245381 -0.69213203],[0.30205522 0.95329043],[-0.84450903 -0.2611584 ],[-0.6196803   1.99273407],[-1.9244343   0.55532489],[-1.75316587  2.6628607 ],[-2.88602865  1.13701474],[-1.48411875  2.00269878],[-2.07951007  1.35250156],[0. 0.]
val00None (111).jpg.Extracted.png,[0.30075662 0.69293821],[ 0.21185372 -0.97730139],[-0.51261034  0.28436318],[-0.12295082 -2.35245902],[0.02080706 1.30580076],[-1.58701135 -3.68789407],[0.47288777 2.58638083],[-0.54665826 -2.39785624],[-1.08575032 -1.86633039],[0. 0.]
val00None (112).jpg.Extracted.png,[-0.13928756 -0.59442437],[0.9832731  0.18213733],[-0.84398554  0.41228704],[0.92658751 1.79938049],[-0.90872483  1.78389262],[0.0673206  2.82250903],[-0.95394941  2.94300465],[0.77170883 2.15250387],[-0.24398554  2.21228704],[0. 0.]
val00None (113).jpg.Extracted.png,[-0.24314036 -0.5739889 ],[ 0.70991277 -0.31038858],[-0.4667724   0.88437748],[1.95511499 0.21823949],[0.92783505 1.58762887],[2.33766852 0.34052339],[2.37287867 1.64282316],[1.42077716 1.81982554],[0.7222839  2.41744647],[0. 0.]
val00None (114).jpg.Extracted.png,[-0.39882292 -0.74450407],[ 0.81685996 -0.16392591],[-0.41803704  0.90842998],[1.72823265 0.89285096],[0.3842825  1.94131902],[2.21793318 1.65726155],[1.0733945  2.57798165],[2.26207374 2.23835901],[1.34083434 2.922278  ],[0. 0.]
val00None (12).jpg.Extracted.png,[-0.09266409 -0.84169884],[0.82702703 0.56216216],[-0.73436293  0.27953668],[0.75289575 2.51737452],[-1.17451737  1.92432432],[-0.50733591  3.61312741],[-1.48030888  3.34671815],[-2.31660232e-03  3.47181467e+00],[-0.996139    3.16602317],[0. 0.]
val00None (13).jpg.Extracted.png,[ 0.40588235 -0.78067227],[0.42352941 0.90588235],[-0.82941176 -0.12521008],[-0.39579832  2.25462185],[-1.51512605  1.07478992],[-0.88487395  3.26806723],[-1.70672269  1.92689076],[-1.15966387  2.78151261],[-1.93613445  2.28739496],[0. 0.]
val00None (14).jpg.Extracted.png,[ 0.14358765 -0.81898139],[0.69277971 0.27081203],[-0.83636736  0.54816936],[1.32358355 1.78400491],[-0.57987318  2.30742483],[2.20597259 2.64000818],[0.3970137  3.17999591],[1.20331356 2.58110043],[0.31110657 2.892207  ],[0. 0.]
val00None (15).jpg.Extracted.png,[-0.29084294 -0.73972104],[ 0.92189206 -0.03602183],[-0.63104912  0.77574287],[1.59757429 0.92310491],[-0.8759248   1.95318375],[1.85009096 1.60788357],[0.17780473 2.47640995],[2.09387508 2.7358399 ],[1.19733172 3.2354154 ],[0. 0.]
val00None (16).jpg.Extracted.png,[-0.84615385 -0.61538462],[1. 0.],[-0.15384615  0.61538462],[3.30769231 1.23076923],[0.         2.38461538],[2.84615385 3.76923077],[-1.30769231  2.92307692],[2.         5.15384615],[1.23076923 5.30769231],[0. 0.]
val00None (17).jpg.Extracted.png,[ 0.09615385 -0.98076923],[0.28846154 0.05769231],[-0.38461538  0.92307692],[ 0.94230769 -0.71153846],[0.23076923 0.34615385],[-0.17307692 -0.63461538],[-0.92307692  0.36538462],[2.17307692 3.88461538],[2.09615385 4.01923077],[0. 0.]
val00None (18).jpg.Extracted.png,[-0.47967322 -0.61700058],[ 0.65648706 -0.36724373],[-0.17681385  0.98424431],[2.16494845 1.37113402],[ 2.36043571 -0.15600078],[2.27407119 2.47986773],[ 1.67593853 -2.47442132],[3.19140245 3.1853725 ],[2.10017506 4.0980354 ],[0. 0.]
val00None (19).jpg.Extracted.png,[-0.35221137 -0.41952901],[0.77920735 0.62676623],[-0.42699598 -0.20723722],[-0.99115451  1.87811603],[-1.62699598  0.39276278],[-2.56438828  1.69890867],[-2.85043079  0.57541643],[0.75370477 2.73141872],[0.06479035 1.97736933],[0. 0.]
val00None (2).jpg.Extracted.png,[ 0.61646908 -0.29894265],[0.0253124  0.99967959],[-0.64178148 -0.70073694],[0.38192887 2.17238065],[-0.88208907 -1.68503685],[1.48446011 2.27234861],[-0.09580263 -2.56840756],[-1.96731817  2.58186479],[-2.69689202  1.94553028],[0. 0.]
val00None (20).jpg.Extracted.png,[ 0.52898391 -0.24950408],[0.460216   0.10293145],[-0.98919991  0.14657263],[0.62849901 1.10105797],[-1.10954375  1.5133348 ],[0.89695834 1.74443465],[0.00925722 2.12563368],[-0.26283888  1.86147234],[-1.02126956  1.85419881],[0. 0.]
val00None (21).jpg.Extracted.png,[-0.07905224 -0.32954134],[0.91652779 0.39997102],[-0.83747555 -0.07042968],[0.87957394 1.82704152],[-1.76914716  1.14383016],[0.67850156 1.91551337],[-0.62922977  0.18172596],[0.19723208 1.97159626],[-0.7818274   1.66292298],[0. 0.]
val00None (22).jpg.Extracted.png,[-0.03257591 -0.73557209],[0.83792479 0.14277096],[-0.80534888  0.59280113],[1.64146391 0.95354917],[-1.06595616  1.70822441],[1.67886588 1.61290971],[-1.30906897  1.92238086],[0.98994571 2.24210738],[0.04705409 2.50693746],[0. 0.]
val00None (23).jpg.Extracted.png,[-0.01383159 -0.80781364],[0.80587236 0.5920893 ],[-0.79204077  0.21572434],[0.68138801 2.32176656],[-1.36204805  1.50424654],[-0.08007765  3.74423684],[-1.96335841  2.43824314],[-0.36398932  3.11016744],[-1.20771657  2.83353555],[0. 0.]
val00None (24).jpg.Extracted.png,[-0.34991098  0.01317507],[ 0.96581602 -0.25922849],[-0.61590504  0.24605341],[1.67477745 0.86706231],[-0.93709199  1.31038576],[1.31264095 1.87086053],[-0.76545994  2.11192878],[1.12391691 0.93970326],[0.20557864 1.22563798],[0. 0.]
val00None (25).jpg.Extracted.png,[ 0.03975535 -0.68807339],[0.83486239 0.55045872],[-0.87461774  0.13761468],[0.93272171 1.77981651],[-1.6116208   1.14984709],[0.66666667 2.33333333],[-1.48012232  1.82262997],[-0.08256881  2.60856269],[-1.13149847  2.32721713],[0. 0.]
val00None (26).jpg.Extracted.png,[-0.06291685 -0.61027123],[0.76478435 0.64428635],[-0.7018675  -0.03401512],[0.18252557 1.71742997],[-1.64295242  0.71765229],[-0.97198755  2.01022677],[-2.39662072  1.34726545],[-0.3223655   2.05691418],[-1.02867941  1.51333926],[0. 0.]
