path,index0,index1,index2,index3,index4,index5,index6,index7,index8
val00None (1).jpg.Extracted.png,[ 0.04649956 -0.10133029 -0.38778766],[0.09764907 0.07653052 0.29934486],[-0.14414863  0.02834326  0.09987515],[0.12465602 0.31107854 0.07098136],[-0.23179282  0.29894984 -0.33913317],[ 0.14082761  0.26660666 -0.70192679],[-0.05121004  0.17159856 -0.97796542],[-0.02223594  0.57656217  0.2208309 ],[-0.20079726  0.53680701  0.20505726]
val00None (10).jpg.Extracted.png,[-0.03491222 -0.08409374 -0.20224094],[ 0.10010707  0.04420312 -0.09322043],[-0.06519485  0.04158682  0.30299983],[-0.01697479  0.30041435 -0.28128138],[-0.21917221  0.20275008  0.13178918],[-0.2253305   0.36097094 -0.33439045],[-0.27629436  0.24542392 -0.45831162],[0.1009408  0.39215719 0.29111639],[-0.002487    0.33531137  0.63337486]
val00None (100).jpg.Extracted.png,[ 0.05739745  0.01491677 -0.17582454],[0.03036785 0.05530645 0.22081021],[-0.09339002 -0.07578028 -0.05952953],[-0.03525598  0.17467334  0.20197519],[-0.2573546  -0.0369095  -0.11055484],[-0.05101398  0.23274479 -0.04039504],[-0.3666904   0.10785441 -0.21898363],[-0.19178755  0.13710139  0.48899257],[-0.27118784  0.08893542  0.272135  ]
val00None (101).jpg.Extracted.png,[ 0.06538027 -0.02904441 -0.20247537],[0.07579732 0.0710024  0.14578226],[-0.14117759 -0.04555403  0.06305618],[0.0618809  0.24649431 0.08461607],[-0.37699248  0.02257245 -0.07991518],[ 0.04146477  0.35193881 -0.22094196],[-0.26570864  0.12648165 -0.3196607 ],[-0.13538872  0.29443382  0.66752676],[-0.26375932  0.20733537  0.62991962]
val00None (102).jpg.Extracted.png,[-0.01051047 -0.09569184 -0.11869689],[ 0.05229291  0.09576169 -0.15667989],[-4.17824444e-02 -7.16149517e-05  2.82352725e-01],[-0.00866667  0.3146375  -0.18997387],[-0.18380673  0.07928245  0.44327236],[-0.15095889  0.38701162 -0.18421709],[-0.30727345  0.10807724  0.28208241],[-0.14719621  0.35365564  0.27056884],[-0.1948165   0.27376826  0.59294874]
val00None (103).jpg.Extracted.png,[ 0.03040702 -0.08764375 -0.2346396 ],[0.11626212 0.0894324  0.10932072],[-0.14666914 -0.00200014  0.14027319],[ 0.12029685  0.35014975 -0.19533937],[-0.32437185  0.16540816 -0.09927083],[ 0.06014842  0.34155712 -0.75253693],[-0.30718659  0.23844553 -0.54598956],[-0.07303737  0.41459449  0.41949931],[-0.24274185  0.34585343  0.43871302]
val00None (104).jpg.Extracted.png,[ 0.01007454 -0.03962364 -0.20815307],[0.08353167 0.03979989 0.10989448],[-0.09360621 -0.00018731  0.10443413],[0.18705455 0.17750801 0.0937085 ],[-0.22315595  0.06031029  0.10249367],[ 0.25258414  0.30309653 -0.00292839],[-0.29147262  0.12606906  0.04978264],[0.03267115 0.19845175 0.5988559 ],[-0.07685286  0.20643595  0.51100418]
val00None (105).jpg.Extracted.png,[ 0.0877569   0.01992981 -0.09109123],[-0.00900728  0.00136553  0.26535747],[-0.0896875  -0.02424492 -0.19711228],[-0.07078166  0.14286844  0.38799996],[-0.1762765   0.16129512 -0.18466308],[-0.09193265  0.25307262  0.30085558],[-0.12250234  0.28412146 -0.03527272],[-0.21605953  0.13959653  0.46891973],[-0.29542024  0.12260729  0.18258821]
val00None (106).jpg.Extracted.png,[ 0.02716978 -0.0770396  -0.2139308 ],[0.07784278 0.08479837 0.10309918],[-0.10501256 -0.0083977   0.12039742],[0.04429318 0.25515746 0.24487567],[-0.24059625  0.08282375  0.21351964],[-0.03443371  0.35642759  0.16424588],[-0.26715959  0.18937724  0.09257495],[-0.10690711  0.33139272  0.47780618],[-0.22000023  0.26685483  0.46884732]
val00None (107).jpg.Extracted.png,[ 0.03026545 -0.06136798 -0.1848314 ],[0.05256924 0.06144239 0.0763434 ],[-8.28346830e-02 -7.96001204e-05  1.16061857e-01],[-0.0149222   0.21021201 -0.0181335 ],[-0.16899232  0.12057388  0.0181335 ],[-0.13547509  0.26266007 -0.28106923],[-0.19942437  0.21598361 -0.3037361 ],[-0.06707644  0.25216626  0.38987022],[-0.15543432  0.20502807  0.40800372]
